name,index,ncolors,nregions,frac,pcm,h_sym,v_sym,rep_frac,rep_pcm,h_pos,v_pos,avg_left,avg_right,avg_top,avg_bot,abs_left,abs_right,abs_top,abs_bot,ch_density,ch_entropy,ar,ncorners,down_diag,vert,up_diag,hor
mclane-company,1,1,1,0.038703160458294125,1.544576815430087,0.1622506767691836,0.26352497364542754,0.0,0.0,0.468609865470852,0.3761467889908257,False,False,False,False,False,False,False,False,0.9735468151757743,0.5385400552222691,0.8292682926829268,4,0.35336538461538464,0.3365384615384616,0.1033653846153846,0.2067307692307692
medtronic,1,1,1,0.05561749571183534,9.96712432740108,0.17770101320009518,0.1230361885473501,0.0,0.0,0.4208333333333333,0.4965753424657534,False,False,False,False,False,False,False,False,0.5744021257750221,1.2071554607793376,1.3015873015873016,21,0.12043010752688173,0.4623655913978494,0.08817204301075267,0.3290322580645161
mercedes-benz,1,4,11,0.05589887640449438,18.18925060672852,0.7913893515348327,0.2886599556316509,6.472533060796,6.525106989319652,0.4984375,0.3830275229357798,False,False,True,False,False,False,False,False,0.4513933895009721,1.2265260343080553,1.0,52,0.15625,0.3579545454545455,0.18323863636363635,0.3025568181818182
merck,1,1,1,0.106848532771042,6.671590952470983,0.9931025059487232,0.9281402373124216,0.0,0.0,0.1784090909090909,0.4983922829581994,True,False,False,False,True,False,False,False,0.6563317952454195,0.2723511061998137,1.017391304347826,9,0.17186183656276327,0.2392586352148273,0.17438921651221567,0.4144903117101938
merck,2,1,1,0.014979792655069409,3.281695582448355,-0.06936979524749858,0.6192267390532161,0.0,0.0,0.9136363636363636,0.5032154340836013,False,True,False,False,False,True,False,False,0.5926312130691693,0.457096246614195,0.5982905982905983,7,0.2975778546712803,0.25951557093425603,0.25951557093425603,0.1833910034602076
metlife,1,2,3,0.044974662162162164,2.5823449921389217,0.18067254647580167,0.6213772337423014,0.4131264387020948,4.48731038613549,0.2478448275862069,0.5,True,False,False,False,False,False,False,False,0.5396959459459459,1.3039727576314455,1.09375,5,0.12681159420289856,0.572463768115942,0.010869565217391304,0.2898550724637681
metlife,2,2,4,0.00809403153153153,6.919780134430232,0.4188441751386773,0.3798152350320823,0.042153737890576776,2.5877464004427373,0.6530172413793104,0.5043859649122807,False,False,False,False,False,False,False,False,0.2595936794582393,0.9218582156430426,1.0,7,0.05172413793103448,0.5603448275862069,0.05172413793103448,0.3362068965517241
mgm-resorts-international,1,1,5,0.017323510266879696,13.156446192395787,0.14887720085090075,0.1456989614103686,0.2772756273413974,1.4865405532939602,0.11241007194244604,0.4970760233918128,True,False,False,False,False,False,False,False,0.3946747556454331,1.09835829699346,0.5,35,0.1518324607329843,0.3612565445026178,0.14659685863874344,0.3403141361256545
mgm-resorts-international,2,1,1,0.008609976921711344,5.579173795465376,-0.10817650812985886,0.14511908621556807,0.0,0.0,0.7868705035971223,0.4824561403508772,False,True,False,False,False,False,False,False,0.5849246231155779,1.6344799031391217,0.9393939393939394,16,0.15934065934065933,0.4065934065934066,0.06043956043956044,0.3736263736263736
michael-kors,1,2,3,0.11033264033264033,16.500307003322472,0.6502108254969209,0.8082480954998216,4.867994833687289,8.111665805797509,0.4983333333333334,0.4155555555555556,False,False,False,False,False,False,False,False,0.5901256532858891,0.764898119732292,1.0,25,0.18984280532043527,0.32406287787182586,0.19226118500604594,0.29383313180169285
michaels,1,1,4,0.09620193376305844,80.2721110517211,-0.007296470505783382,0.11319111813476312,0.11578482956678718,8.103031345090303,0.4977728285077951,0.4305555555555556,False,False,False,False,False,False,False,False,0.2001560783860339,0.4466758946605721,3.462264150943396,69,0.14463380930446798,0.4698295716259788,0.235836020267158,0.1497005988023952
micron-technology,1,1,2,0.04990106524272897,17.6230816121156,0.2306052059552278,0.2638398963790603,0.3473655621944596,0.20208836441729794,0.21794871794871795,0.4974747474747474,True,False,False,False,False,False,False,False,0.4891723130065099,0.9812494209727186,0.982608695652174,34,0.07228915662650602,0.2665662650602409,0.3569277108433735,0.3042168674698795
mini,1,3,11,0.28162591398694864,29.867994343830762,0.9755133080411678,0.8267727369718549,1.1331956297443684,12.334844857283453,0.4985955056179776,0.5,False,False,False,False,False,False,False,False,0.7199276454627676,0.7154877923392141,2.294117647058824,85,0.07120253164556962,0.1949367088607595,0.07056962025316456,0.6632911392405063
minute-maid,1,6,19,0.5974085877222408,19.671548731934315,0.08582756068543038,-0.0010874588784592814,0.33556206777740505,38.99401698542149,0.4983922829581994,0.4976851851851852,False,False,False,False,False,False,False,False,0.909682980557418,1.1964504390554458,1.7037037037037035,159,0.07477520113582584,0.3166114529105537,0.06862281116895409,0.5399905347846663
mobil,1,1,1,0.008202996828174559,1.1719108976333228,,,0.0,0.0,0.8106995884773662,0.25245098039215685,False,True,True,False,False,False,False,False,1.0,0.9072651140596234,1.0434782608695652,4,0.010416666666666666,0.4791666666666667,0.010416666666666666,0.5
moet,1,1,1,0.010925358237684464,18.061230079471702,0.8812566585307186,0.06623335007423227,0.0,0.0,0.5,0.2799043062200957,False,False,True,False,False,False,True,False,0.5279931093884582,2.7525584939292647,1.135135135135135,45,0.14305555555555555,0.3111111111111111,0.1375,0.4083333333333333
mohawk-industries,1,3,8,0.06105033975383211,48.385391381890344,0.05610638273616827,0.035895841514483065,6.691888569995853,8.932094930025569,0.6352785145888594,0.4904306220095694,False,False,False,False,False,False,False,False,0.1973437766048016,0.5766227578950933,1.5528455284552845,83,0.14981617647058826,0.3474264705882353,0.2352941176470588,0.26746323529411764
molina-healthcare,1,1,4,0.10948564196824058,5.350437893879397,-0.05202008289696501,0.1838243471799484,0.15202297533447567,1.0767205937053008,0.262208067940552,0.4974226804123712,True,False,False,False,False,False,False,False,0.7705439508005514,0.5998789432065569,0.8378378378378378,11,0.11428571428571427,0.5047619047619047,0.05396825396825397,0.326984126984127
molina-healthcare,2,1,4,0.005453942808931207,13.411441882725748,0.006186042224706061,0.3995572870883341,0.01977599594375187,0.6610186336786873,0.8312101910828026,0.7216494845360825,False,True,False,False,False,False,False,False,0.3126079447322971,1.087250545355071,2.125,27,0.1228813559322034,0.576271186440678,0.08050847457627118,0.22033898305084745
mondelez-international,1,2,2,0.05033602150537635,7.076232760179911,0.15272393531764342,-0.03706996413447818,0.29617267467734754,2.035742603910844,0.21480582524271846,0.45625,True,False,False,False,False,False,False,False,0.47757704569606796,1.029157899044284,1.6166666666666667,19,0.22375690607734808,0.35911602209944754,0.20718232044198892,0.20994475138121546
mondelez-international,2,1,1,0.010416666666666666,1.5771741457364596,0.3322729655779456,0.4680985496763345,0.0,0.0,0.8580097087378641,0.578125,False,True,False,False,False,False,False,False,0.8840304182509505,1.1512379297454594,1.5714285714285714,1,0.1962025316455696,0.1518987341772152,0.23417721518987344,0.4177215189873418
monsanto-company,1,3,5,0.05002251998648801,23.846909694921603,0.07501730613488335,0.2668481063510796,9.760578724950003,7.807534448725548,0.8269230769230769,0.4975728155339806,False,True,False,False,False,False,False,False,0.5547057905415951,1.7250775821786106,0.4552845528455284,56,0.10853530031612224,0.5089567966280295,0.1285563751317176,0.2539515279241307
mosaic,1,1,2,0.24950396825396826,2.8929043901963367,0.4021076419688729,0.3785258745379148,0.0007668276057938295,0.04886857270581391,0.526595744680851,0.42200000000000004,False,False,False,False,False,False,False,False,0.9184099327038447,0.3371293380344029,1.1755725190839694,3,0.0521978021978022,0.5741758241758241,0.0989010989010989,0.27472527472527475
motorola,1,1,1,0.18854611823361825,5.966241783814755,0.9946828033431409,0.6175646691970003,0.0,0.0,0.4982758620689655,0.3618421052631579,False,False,True,False,False,False,True,False,0.8537249052648552,0.2623009775455065,1.0,11,0.18928086838534602,0.4423337856173677,0.18928086838534602,0.1791044776119403
mountain-dew,1,4,12,0.2613970064148254,92.26821000745814,0.2536581406363398,0.21620356834973525,1.1056191969682565,36.204749615503374,0.4971014492753623,0.4981481481481482,False,False,False,False,False,False,False,False,0.7562585062069535,1.9745074486031249,1.4064171122994653,104,0.01783412118607649,0.3704340352385045,0.19187795444778685,0.41985388912763216
